year_month,variable,value
2019-05,hooping,28
2019-06,hooping,33
2019-07,hooping,31
2019-08,hooping,28
2019-09,hooping,30
2019-10,hooping,24
2019-11,hooping,22
2019-12,hooping,26
2020-01,hooping,31
2019-03,horseback riding,58
2019-04,horseback riding,63
2019-05,horseback riding,68
2019-06,horseback riding,84
2019-07,horseback riding,93
2019-08,horseback riding,81
2019-09,horseback riding,58
2019-10,horseback riding,51
2019-11,horseback riding,41
2019-12,horseback riding,38
2020-01,horseback riding,40
2019-03,horsemanship,65
2019-04,horsemanship,54
2019-05,horsemanship,56
2019-06,horsemanship,57
2019-07,horsemanship,67
2019-08,horsemanship,65
2019-09,horsemanship,65
2019-10,horsemanship,58
2019-11,horsemanship,49
2019-12,horsemanship,50
2020-01,horsemanship,57
2019-03,horseshoes,48
2019-04,horseshoes,51
2019-05,horseshoes,58
2019-06,horseshoes,73
2019-07,horseshoes,80
2019-08,horseshoes,59
2019-09,horseshoes,50
2019-10,horseshoes,38
2019-11,horseshoes,39
2019-12,horseshoes,45
2020-01,horseshoes,38
2019-03,hunting,10
2019-04,hunting,10
2019-05,hunting,8
2019-06,hunting,8
2019-07,hunting,9
2019-08,hunting,23
2019-09,hunting,100
2019-10,hunting,19
2019-11,hunting,22
2019-12,hunting,17
2020-01,hunting,12
2019-03,hydroponics,74
2019-04,hydroponics,67
2019-05,hydroponics,68
2019-06,hydroponics,66
2019-07,hydroponics,63
2019-08,hydroponics,68
2019-09,hydroponics,62
2019-10,hydroponics,58
2019-11,hydroponics,53
2019-12,hydroponics,59
2020-01,hydroponics,69
2019-03,ice hockey,16
2019-04,ice hockey,12
2019-05,ice hockey,10
2019-06,ice hockey,8
2019-07,ice hockey,7
2019-08,ice hockey,8
2019-09,ice hockey,11
2019-10,ice hockey,14
2019-11,ice hockey,16
2019-12,ice hockey,16
2020-01,ice hockey,19
2019-03,ice skating,18
2019-04,ice skating,8
2019-05,ice skating,7
2019-06,ice skating,9
2019-07,ice skating,9
2019-08,ice skating,9
2019-09,ice skating,9
2019-10,ice skating,12
2019-11,ice skating,41
2019-12,ice skating,96
2020-01,ice skating,50
