variable,group,value
brazilian jiu-jitsu,2021-08,73.6842105263158
brazilian jiu-jitsu,2021-09,52.63157894736842
brazilian jiu-jitsu,2021-10,15.789473684210526
horseback riding,2019-01,40.84507042253521
horseback riding,2019-02,42.25352112676056
horseback riding,2019-03,59.15492957746479
horseback riding,2019-04,63.38028169014085
horseback riding,2019-05,64.78873239436619
horseback riding,2019-06,77.46478873239437
horseback riding,2019-07,87.32394366197182
horseback riding,2019-08,76.05633802816901
horseback riding,2019-09,59.15492957746479
horseback riding,2019-10,47.88732394366197
horseback riding,2019-11,39.436619718309856
horseback riding,2019-12,33.80281690140845
horseback riding,2020-01,40.84507042253521
horseback riding,2020-02,42.25352112676056
horseback riding,2020-03,29.577464788732396
horseback riding,2020-04,19.718309859154928
horseback riding,2020-05,40.84507042253521
horseback riding,2020-06,81.69014084507042
horseback riding,2020-07,90.14084507042253
horseback riding,2020-08,90.14084507042253
horseback riding,2020-09,78.87323943661971
horseback riding,2020-10,70.4225352112676
horseback riding,2020-11,47.88732394366197
horseback riding,2020-12,43.66197183098591
horseback riding,2021-01,47.88732394366197
horseback riding,2021-02,49.29577464788732
horseback riding,2021-03,76.05633802816901
horseback riding,2021-04,80.28169014084507
horseback riding,2021-05,84.50704225352112
horseback riding,2021-06,94.36619718309859
horseback riding,2021-07,100.0
horseback riding,2021-08,78.87323943661971
horseback riding,2021-09,63.38028169014085
horseback riding,2021-10,69.01408450704226
woodworking,2019-01,82.75862068965517
woodworking,2019-02,72.41379310344827
woodworking,2019-03,68.96551724137932
woodworking,2019-04,62.06896551724138
woodworking,2019-05,58.62068965517241
woodworking,2019-06,58.62068965517241
woodworking,2019-07,58.62068965517241
woodworking,2019-08,62.06896551724138
woodworking,2019-09,58.62068965517241
woodworking,2019-10,58.62068965517241
woodworking,2019-11,65.51724137931035
woodworking,2019-12,82.75862068965517
woodworking,2020-01,82.75862068965517
woodworking,2020-02,72.41379310344827
woodworking,2020-03,65.51724137931035
woodworking,2020-04,82.75862068965517
woodworking,2020-05,79.3103448275862
woodworking,2020-06,72.41379310344827
woodworking,2020-07,68.96551724137932
woodworking,2020-08,68.96551724137932
woodworking,2020-09,68.96551724137932
woodworking,2020-10,72.41379310344827
woodworking,2020-11,82.75862068965517
woodworking,2020-12,100.0
woodworking,2021-01,86.20689655172414
woodworking,2021-02,75.86206896551724
woodworking,2021-03,72.41379310344827
woodworking,2021-04,65.51724137931035
woodworking,2021-05,65.51724137931035
woodworking,2021-06,58.62068965517241
woodworking,2021-07,58.62068965517241
woodworking,2021-08,62.06896551724138
woodworking,2021-09,65.51724137931035
woodworking,2021-10,58.62068965517241
winemaking,2019-01,75.0
winemaking,2019-02,50.0
winemaking,2019-03,37.5
winemaking,2019-04,62.5
winemaking,2019-05,56.25
winemaking,2019-06,56.25
winemaking,2019-07,68.75
winemaking,2019-08,75.0
winemaking,2019-09,100.0
winemaking,2019-10,81.25
winemaking,2019-11,62.5
winemaking,2019-12,43.75
winemaking,2020-01,56.25
winemaking,2020-02,56.25
winemaking,2020-03,50.0
winemaking,2020-04,56.25
winemaking,2020-05,56.25
winemaking,2020-06,62.5
winemaking,2020-07,75.0
winemaking,2020-08,75.0
winemaking,2020-09,93.75
winemaking,2020-10,68.75
winemaking,2020-11,62.5
winemaking,2020-12,75.0
winemaking,2021-01,75.0
winemaking,2021-02,43.75
winemaking,2021-03,56.25
winemaking,2021-04,37.5
winemaking,2021-05,68.75
winemaking,2021-06,93.75
winemaking,2021-07,56.25
winemaking,2021-08,68.75
winemaking,2021-09,75.0
winemaking,2021-10,56.25
survivalism,2019-01,50.0
survivalism,2019-02,50.0
survivalism,2019-03,0.0
survivalism,2019-04,50.0
survivalism,2019-05,100.0
survivalism,2019-06,100.0
survivalism,2019-07,100.0
survivalism,2019-08,0.0
survivalism,2019-09,0.0
survivalism,2019-10,100.0
survivalism,2019-11,50.0
survivalism,2019-12,50.0
survivalism,2020-01,50.0
survivalism,2020-02,0.0
survivalism,2020-03,50.0
survivalism,2020-04,100.0
survivalism,2020-05,100.0
survivalism,2020-06,100.0
survivalism,2020-07,50.0
survivalism,2020-08,50.0
survivalism,2020-09,100.0
survivalism,2020-10,0.0
survivalism,2020-11,100.0
survivalism,2020-12,100.0
survivalism,2021-01,100.0
survivalism,2021-02,50.0
survivalism,2021-03,100.0
survivalism,2021-04,50.0
survivalism,2021-05,0.0
survivalism,2021-06,0.0
survivalism,2021-07,50.0
survivalism,2021-08,0.0
survivalism,2021-09,0.0
survivalism,2021-10,50.0
do it yourself,2019-01,73.33333333333333
do it yourself,2019-02,80.0
do it yourself,2019-03,80.0
do it yourself,2019-04,80.0
do it yourself,2019-05,86.66666666666667
do it yourself,2019-06,86.66666666666667
do it yourself,2019-07,80.0
