year_month,variable,value
2020-06,bus riding,22
2020-07,bus riding,20
2020-08,bus riding,32
2020-09,bus riding,33
2020-10,bus riding,23
2020-11,bus riding,37
2020-12,bus riding,28
2021-01,bus riding,36
2021-02,bus riding,35
2021-03,bus riding,25
2021-04,bus riding,29
2021-05,bus riding,37
2021-06,bus riding,29
2021-07,bus riding,31
2021-08,bus riding,33
2021-09,bus riding,31
2021-10,bus riding,60
2020-03,camping,30
2020-04,camping,30
2020-05,camping,71
2020-06,camping,97
2020-07,camping,100
2020-08,camping,83
2020-09,camping,56
2020-10,camping,42
2020-11,camping,30
2020-12,camping,27
2021-01,camping,33
2021-02,camping,36
2021-03,camping,47
2021-04,camping,56
2021-05,camping,69
2021-06,camping,80
2021-07,camping,75
2021-08,camping,61
2021-09,camping,54
2021-10,camping,48
2020-03,canoeing,13
2020-04,canoeing,16
2020-05,canoeing,40
2020-06,canoeing,71
2020-07,canoeing,68
2020-08,canoeing,53
2020-09,canoeing,27
2020-10,canoeing,15
2020-11,canoeing,9
2020-12,canoeing,11
2021-01,canoeing,8
2021-02,canoeing,12
2021-03,canoeing,18
2021-04,canoeing,22
2021-05,canoeing,36
2021-06,canoeing,45
2021-07,canoeing,52
2021-08,canoeing,40
2021-09,canoeing,20
2021-10,canoeing,16
2020-03,canyoning,37
2020-04,canyoning,31
2020-05,canyoning,25
2020-06,canyoning,18
2020-07,canyoning,52
2020-08,canyoning,39
2020-09,canyoning,36
2020-10,canyoning,46
2020-11,canyoning,23
2020-12,canyoning,23
2021-01,canyoning,39
2021-02,canyoning,25
2021-03,canyoning,29
2021-04,canyoning,48
2021-05,canyoning,85
2021-06,canyoning,87
2021-07,canyoning,69
2021-08,canyoning,82
2021-09,canyoning,51
2021-10,canyoning,100
2020-03,car riding,63
2020-04,car riding,72
2020-05,car riding,82
2020-06,car riding,77
2020-07,car riding,83
2020-08,car riding,73
2020-09,car riding,82
2020-10,car riding,86
2020-11,car riding,74
2020-12,car riding,77
2021-01,car riding,69
2021-02,car riding,72
2021-03,car riding,88
2021-04,car riding,100
2021-05,car riding,87
2021-06,car riding,91
2021-07,car riding,73
2021-08,car riding,71
2021-09,car riding,81
2021-10,car riding,85
2020-03,car tuning,87
2020-04,car tuning,77
2020-05,car tuning,74
2020-06,car tuning,63
2020-07,car tuning,58
2020-08,car tuning,76
2020-09,car tuning,75
2020-10,car tuning,81
2020-11,car tuning,71
2020-12,car tuning,74
2021-01,car tuning,70
2021-02,car tuning,75
2021-03,car tuning,92
2021-04,car tuning,100
2021-05,car tuning,77
2021-06,car tuning,98
2021-07,car tuning,74
2021-08,car tuning,76
2021-09,car tuning,82
2021-10,car tuning,59
2020-03,caving,48
2020-04,caving,41
2020-05,caving,60
2020-06,caving,61
2020-07,caving,52
2020-08,caving,54
2020-09,caving,57
2020-10,caving,59
2020-11,caving,50
2020-12,caving,49
2021-01,caving,45
2021-02,caving,40
2021-03,caving,40
2021-04,caving,61
2021-05,caving,44
2021-06,caving,62
2021-07,caving,54
2021-08,caving,47
2021-09,caving,45
2021-10,caving,42
2020-03,checkers,83
2020-04,checkers,86
2020-05,checkers,92
2020-06,checkers,89
2020-07,checkers,91
