variable,group,value
squash,2019-12,48
squash,2020-01,55
squash,2020-02,43
squash,2020-03,43
squash,2020-04,52
squash,2020-05,55
squash,2020-06,63
squash,2020-07,76
squash,2020-08,66
squash,2020-09,73
squash,2020-10,100
squash,2020-11,86
squash,2020-12,53
squash,2021-01,53
squash,2021-02,48
squash,2021-03,40
squash,2021-04,36
squash,2021-05,38
squash,2021-06,43
squash,2021-07,52
squash,2021-08,50
squash,2021-09,55
squash,2021-10,71
listening to music,2019-01,69
listening to music,2019-02,84
listening to music,2019-03,70
listening to music,2019-04,75
listening to music,2019-05,77
listening to music,2019-06,53
listening to music,2019-07,58
listening to music,2019-08,56
listening to music,2019-09,72
listening to music,2019-10,70
listening to music,2019-11,74
listening to music,2019-12,65
listening to music,2020-01,68
listening to music,2020-02,76
listening to music,2020-03,56
listening to music,2020-04,79
listening to music,2020-05,63
listening to music,2020-06,57
listening to music,2020-07,52
listening to music,2020-08,82
listening to music,2020-09,100
listening to music,2020-10,81
listening to music,2020-11,64
listening to music,2020-12,59
listening to music,2021-01,61
listening to music,2021-02,73
listening to music,2021-03,70
listening to music,2021-04,62
listening to music,2021-05,56
listening to music,2021-06,58
listening to music,2021-07,52
listening to music,2021-08,56
listening to music,2021-09,72
listening to music,2021-10,64
model united nations,2019-01,5
model united nations,2019-02,5
model united nations,2019-03,6
model united nations,2019-04,8
model united nations,2019-05,4
model united nations,2019-06,2
model united nations,2019-07,2
model united nations,2019-08,6
model united nations,2019-09,5
model united nations,2019-10,7
model united nations,2019-11,8
model united nations,2019-12,6
model united nations,2020-01,7
model united nations,2020-02,5
model united nations,2020-03,5
model united nations,2020-04,4
model united nations,2020-05,4
model united nations,2020-06,2
model united nations,2020-07,3
model united nations,2020-08,3
model united nations,2020-09,3
model united nations,2020-10,3
model united nations,2020-11,4
model united nations,2020-12,3
model united nations,2021-01,2
model united nations,2021-02,5
model united nations,2021-03,3
model united nations,2021-04,4
model united nations,2021-05,4
model united nations,2021-06,2
model united nations,2021-07,2
model united nations,2021-08,2
model united nations,2021-09,6
model united nations,2021-10,2
bell ringing,2019-01,54
bell ringing,2019-02,29
bell ringing,2019-03,41
bell ringing,2019-04,44
bell ringing,2019-05,54
bell ringing,2019-06,43
bell ringing,2019-07,56
bell ringing,2019-08,38
bell ringing,2019-09,51
bell ringing,2019-10,52
bell ringing,2019-11,67
bell ringing,2019-12,83
bell ringing,2020-01,49
bell ringing,2020-02,50
bell ringing,2020-03,47
bell ringing,2020-04,62
bell ringing,2020-05,48
bell ringing,2020-06,42
bell ringing,2020-07,43
bell ringing,2020-08,40
bell ringing,2020-09,43
bell ringing,2020-10,51
bell ringing,2020-11,53
bell ringing,2020-12,80
bell ringing,2021-01,48
bell ringing,2021-02,35
bell ringing,2021-03,41
bell ringing,2021-04,30
bell ringing,2021-05,39
bell ringing,2021-06,42
bell ringing,2021-07,38
bell ringing,2021-08,33
bell ringing,2021-09,37
bell ringing,2021-10,76
lock picking,2019-01,14
lock picking,2019-02,19
lock picking,2019-03,17
lock picking,2019-04,14
lock picking,2019-05,18
lock picking,2019-06,14
lock picking,2019-07,18
lock picking,2019-08,14
lock picking,2019-09,15
lock picking,2019-10,18
lock picking,2019-11,24
lock picking,2019-12,18
lock picking,2020-01,14
lock picking,2020-02,14
lock picking,2020-03,16
lock picking,2020-04,19
lock picking,2020-05,19
lock picking,2020-06,21
lock picking,2020-07,16
lock picking,2020-08,21
lock picking,2020-09,16
lock picking,2020-10,18
lock picking,2020-11,16
lock picking,2020-12,22
lock picking,2021-01,17
lock picking,2021-02,14
lock picking,2021-03,11
lock picking,2021-04,14
lock picking,2021-05,17
lock picking,2021-06,19
lock picking,2021-07,21
lock picking,2021-08,16
lock picking,2021-09,22
lock picking,2021-10,21
cross-stitch,2019-01,2
cross-stitch,2019-02,6
cross-stitch,2019-03,3
cross-stitch,2019-04,3
cross-stitch,2019-05,4
cross-stitch,2019-06,4
cross-stitch,2019-07,2
cross-stitch,2019-08,1
cross-stitch,2019-09,4
cross-stitch,2019-10,5
cross-stitch,2019-11,5
cross-stitch,2019-12,6
cross-stitch,2020-01,5
cross-stitch,2020-02,3
cross-stitch,2020-03,4
cross-stitch,2020-04,6
cross-stitch,2020-05,5
cross-stitch,2020-06,7
cross-stitch,2020-07,6
cross-stitch,2020-08,5
cross-stitch,2020-09,4
cross-stitch,2020-10,4
cross-stitch,2020-11,3
cross-stitch,2020-12,5
cross-stitch,2021-01,3
cross-stitch,2021-02,1
cross-stitch,2021-03,4
cross-stitch,2021-04,5
cross-stitch,2021-05,3
cross-stitch,2021-06,2
cross-stitch,2021-07,2
cross-stitch,2021-08,2
cross-stitch,2021-09,4
cross-stitch,2021-10,0
polo,2019-01,47
polo,2019-02,46
polo,2019-03,48
polo,2019-04,49
polo,2019-05,53
polo,2019-06,57
polo,2019-07,61
polo,2019-08,59
polo,2019-09,58
polo,2019-10,55
polo,2019-11,64
polo,2019-12,71
polo,2020-01,49
polo,2020-02,50
polo,2020-03,42
polo,2020-04,41
polo,2020-05,53
polo,2020-06,63
polo,2020-07,60
polo,2020-08,56
polo,2020-09,55
polo,2020-10,53
polo,2020-11,60
polo,2020-12,65
polo,2021-01,49
polo,2021-02,50
polo,2021-03,58
polo,2021-04,68
polo,2021-05,65
polo,2021-06,83
polo,2021-07,81
polo,2021-08,80
polo,2021-09,64
polo,2021-10,67
powerlifting,2019-01,86
powerlifting,2019-02,94
powerlifting,2019-03,90
powerlifting,2019-04,71
powerlifting,2019-05,68
powerlifting,2019-06,69
powerlifting,2019-07,65
powerlifting,2019-08,71
powerlifting,2019-09,66
powerlifting,2019-10,71
powerlifting,2019-11,66
powerlifting,2019-12,73
powerlifting,2020-01,78
powerlifting,2020-02,85
powerlifting,2020-03,59
powerlifting,2020-04,38
powerlifting,2020-05,42
powerlifting,2020-06,42
powerlifting,2020-07,52
powerlifting,2020-08,50
powerlifting,2020-09,50
powerlifting,2020-10,49
powerlifting,2020-11,48
powerlifting,2020-12,57
powerlifting,2021-01,61
powerlifting,2021-02,62
powerlifting,2021-03,58
powerlifting,2021-04,58
powerlifting,2021-05,58
powerlifting,2021-06,62
powerlifting,2021-07,61
powerlifting,2021-08,66
powerlifting,2021-09,56
powerlifting,2021-10,58
composting,2019-01,32
composting,2019-02,34
composting,2019-03,38
composting,2019-04,54
composting,2019-05,60
composting,2019-06,42
composting,2019-07,34
composting,2019-08,37
composting,2019-09,37
